run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed1_alpha8,curriculum,0.125,0.25,0.625,1,1.96875,12.078125,histories/curriculum_icm+rnd_seed1_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha8.csv
curriculum_icm+rnd_seed1_alpha9,curriculum,0.0,0.375,0.625,1,1.96875,13.40625,histories/curriculum_icm+rnd_seed1_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha9.csv
curriculum_icm+rnd_seed1_alpha10,curriculum,0.5,0.0,0.5,1,1.87890625,9.328125,histories/curriculum_icm+rnd_seed1_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha10.csv
curriculum_icm+rnd_seed1_alpha11,curriculum,0.375,0.125,0.5,1,1.91796875,9.86328125,histories/curriculum_icm+rnd_seed1_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha11.csv
curriculum_icm+rnd_seed1_alpha12,curriculum,0.25,0.25,0.5,1,1.94921875,11.41015625,histories/curriculum_icm+rnd_seed1_alpha12.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha12.csv
curriculum_icm+rnd_seed1_alpha13,curriculum,0.125,0.375,0.5,1,1.9453125,13.56640625,histories/curriculum_icm+rnd_seed1_alpha13.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha13.csv
curriculum_icm+rnd_seed1_alpha14,curriculum,0.0,0.5,0.5,1,1.96484375,13.484375,histories/curriculum_icm+rnd_seed1_alpha14.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha14.csv
curriculum_icm+rnd_seed1_alpha15,curriculum,0.625,0.0,0.375,1,1.66796875,8.92578125,histories/curriculum_icm+rnd_seed1_alpha15.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha15.csv
curriculum_icm+rnd_seed1_alpha16,curriculum,0.5,0.125,0.375,1,1.77734375,9.51953125,histories/curriculum_icm+rnd_seed1_alpha16.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha16.csv
curriculum_icm+rnd_seed1_alpha17,curriculum,0.375,0.25,0.375,1,1.91015625,10.421875,histories/curriculum_icm+rnd_seed1_alpha17.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha17.csv
curriculum_icm+rnd_seed1_alpha18,curriculum,0.25,0.375,0.375,1,1.94921875,13.546875,histories/curriculum_icm+rnd_seed1_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha18.csv
curriculum_icm+rnd_seed1_alpha19,curriculum,0.125,0.5,0.375,1,1.9609375,13.84765625,histories/curriculum_icm+rnd_seed1_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha19.csv
curriculum_icm+rnd_seed1_alpha20,curriculum,0.0,0.625,0.375,1,1.90625,13.16796875,histories/curriculum_icm+rnd_seed1_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha20.csv
curriculum_icm+rnd_seed1_alpha21,curriculum,0.75,0.0,0.25,1,0.87890625,5.2734375,histories/curriculum_icm+rnd_seed1_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha21.csv
curriculum_icm+rnd_seed1_alpha22,curriculum,0.625,0.125,0.25,1,1.5546875,8.5859375,histories/curriculum_icm+rnd_seed1_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha22.csv
curriculum_icm+rnd_seed1_alpha23,curriculum,0.5,0.25,0.25,1,1.6796875,9.59765625,histories/curriculum_icm+rnd_seed1_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha23.csv
curriculum_icm+rnd_seed1_alpha24,curriculum,0.375,0.375,0.25,1,1.89453125,12.71484375,histories/curriculum_icm+rnd_seed1_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha24.csv
curriculum_icm+rnd_seed1_alpha25,curriculum,0.25,0.5,0.25,1,1.8671875,13.51171875,histories/curriculum_icm+rnd_seed1_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha25.csv
curriculum_icm+rnd_seed1_alpha26,curriculum,0.125,0.625,0.25,1,1.83984375,13.3046875,histories/curriculum_icm+rnd_seed1_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha26.csv
curriculum_icm+rnd_seed1_alpha27,curriculum,0.0,0.75,0.25,1,1.78515625,12.640625,histories/curriculum_icm+rnd_seed1_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha27.csv
curriculum_icm+rnd_seed1_alpha28,curriculum,0.875,0.0,0.125,1,0.28125,2.5,histories/curriculum_icm+rnd_seed1_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha28.csv
curriculum_icm+rnd_seed1_alpha29,curriculum,0.75,0.125,0.125,1,0.3671875,2.80859375,histories/curriculum_icm+rnd_seed1_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha29.csv
curriculum_icm+rnd_seed1_alpha30,curriculum,0.625,0.25,0.125,1,0.38671875,3.296875,histories/curriculum_icm+rnd_seed1_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha30.csv
curriculum_icm+rnd_seed1_alpha31,curriculum,0.5,0.375,0.125,1,1.58203125,10.71484375,histories/curriculum_icm+rnd_seed1_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha31.csv
curriculum_icm+rnd_seed1_alpha32,curriculum,0.375,0.5,0.125,1,1.50390625,11.921875,histories/curriculum_icm+rnd_seed1_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha32.csv
curriculum_icm+rnd_seed1_alpha33,curriculum,0.25,0.625,0.125,1,1.14453125,11.1953125,histories/curriculum_icm+rnd_seed1_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha33.csv
curriculum_icm+rnd_seed1_alpha34,curriculum,0.125,0.75,0.125,1,1.03125,10.6328125,histories/curriculum_icm+rnd_seed1_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha34.csv
curriculum_icm+rnd_seed1_alpha35,curriculum,0.0,0.875,0.125,1,0.95703125,10.32421875,histories/curriculum_icm+rnd_seed1_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha35.csv
