run/total_env_steps,alpha_ext,alpha_icm,alpha_rnd
801112064,0.27676523,0.30344957,0.41978523
805306368,0.2653011,0.31267047,0.42202845
809500672,0.2947468,0.30459255,0.4006607
813694976,0.2886894,0.32473385,0.38657677
817889280,0.27800778,0.337753,0.38423926
822083584,0.24639389,0.34529522,0.4083109
826277888,0.20373231,0.3527969,0.44347078
830472192,0.19464916,0.34255815,0.4627927
834666496,0.1834499,0.33587137,0.48067877
838860800,0.18032858,0.31643504,0.5032364
843055104,0.19149832,0.31637856,0.49212313
847249408,0.20919058,0.30202633,0.48878306
851443712,0.2114746,0.29964525,0.48888016
855638016,0.20300724,0.28094804,0.51604474
859832320,0.17759047,0.27917075,0.54323876
864026624,0.16832824,0.27974707,0.5519247
868220928,0.17176118,0.28636503,0.5418738
872415232,0.1827499,0.28118783,0.53606236
876609536,0.18161502,0.27978605,0.538599
880803840,0.1633371,0.26638362,0.5702793
884998144,0.15845324,0.25060162,0.5909451
889192448,0.17217538,0.25716597,0.5706587
893386752,0.1808141,0.24822679,0.5709591
897581056,0.1830852,0.24912193,0.56779283
901775360,0.1901721,0.2323196,0.57750833
905969664,0.18321514,0.23794258,0.5788423
910163968,0.1826943,0.23598112,0.5813246
914358272,0.18462476,0.22219604,0.5931792
918552576,0.17931177,0.21413419,0.60655403
922746880,0.17775303,0.21562164,0.6066253
926941184,0.19204894,0.25171325,0.5562378
931135488,0.203125,0.25607944,0.54079556
935329792,0.20996496,0.2544998,0.5355352
939524096,0.19505756,0.25727046,0.5476719
943718400,0.22859581,0.27632737,0.49507684
947912704,0.2384417,0.25835326,0.50320506
952107008,0.20948535,0.27127323,0.51924145
956301312,0.16955061,0.22145514,0.60899425
960495616,0.1376432,0.20360216,0.65875465
964689920,0.14998055,0.21188378,0.6381357
968884224,0.1454982,0.24572617,0.6087757
973078528,0.16659099,0.23905043,0.59435856
977272832,0.16943592,0.22384213,0.60672194
981467136,0.17038658,0.24982524,0.5797882
985661440,0.16870397,0.24046099,0.590835
989855744,0.17931932,0.24415733,0.57652336
994050048,0.18572381,0.2376393,0.5766369
998244352,0.20110744,0.23897573,0.55991685
1002438656,0.20433795,0.24008784,0.55557424
