run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed2_alpha1,curriculum,0.125,0.0,0.875,2,1.984375,10.83984375,histories/curriculum_icm+rnd_seed2_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha1.csv
curriculum_icm+rnd_seed2_alpha2,curriculum,0.0,0.125,0.875,2,1.98046875,12.703125,histories/curriculum_icm+rnd_seed2_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha2.csv
curriculum_icm+rnd_seed2_alpha3,curriculum,0.25,0.0,0.75,2,2.0,10.56640625,histories/curriculum_icm+rnd_seed2_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha3.csv
curriculum_icm+rnd_seed2_alpha4,curriculum,0.125,0.125,0.75,2,1.9765625,11.48828125,histories/curriculum_icm+rnd_seed2_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha4.csv
curriculum_icm+rnd_seed2_alpha5,curriculum,0.0,0.25,0.75,2,1.98046875,15.12109375,histories/curriculum_icm+rnd_seed2_alpha5.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha5.csv
curriculum_icm+rnd_seed2_alpha6,curriculum,0.375,0.0,0.625,2,1.98046875,10.13671875,histories/curriculum_icm+rnd_seed2_alpha6.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha6.csv
curriculum_icm+rnd_seed2_alpha7,curriculum,0.25,0.125,0.625,2,1.99609375,10.61328125,histories/curriculum_icm+rnd_seed2_alpha7.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha7.csv
curriculum_icm+rnd_seed2_alpha8,curriculum,0.125,0.25,0.625,2,1.98828125,13.75,histories/curriculum_icm+rnd_seed2_alpha8.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha8.csv
curriculum_icm+rnd_seed2_alpha9,curriculum,0.0,0.375,0.625,2,1.98046875,16.3203125,histories/curriculum_icm+rnd_seed2_alpha9.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha9.csv
curriculum_icm+rnd_seed2_alpha10,curriculum,0.5,0.0,0.5,2,1.9765625,9.96484375,histories/curriculum_icm+rnd_seed2_alpha10.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha10.csv
curriculum_icm+rnd_seed2_alpha11,curriculum,0.375,0.125,0.5,2,1.9921875,10.34375,histories/curriculum_icm+rnd_seed2_alpha11.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha11.csv
